Model,MicroAccuracy,MacroAccuracy,LogLoss
FastTree (GradientBoosting) (80/20),0.998680,0.996424,0.005530
FastTree (GradientBoosting) (90/10),0.999080,0.996622,0.002939
FastTree (GradientBoosting) (CV 3-Fold),0.998266,0.831171,0.008955
FastTree (GradientBoosting) (CV 5-Fold),0.998271,0.964105,0.007785
FastTree (GradientBoosting) (CV 10-Fold),0.998617,0.964237,0.005722
Naive Bayes (80/20),0.867576,0.500000,34.538776
Naive Bayes (90/10),0.863845,0.500000,34.538776
Naive Bayes (CV 3-Fold),0.869941,0.388889,34.538776
Naive Bayes (CV 5-Fold),0.869966,0.433333,34.538776
Naive Bayes (CV 10-Fold),0.869955,0.450000,34.538776
"KNN (k=3, 80/20)",0.965323,0.965323,0.000000
"KNN (k=3, 90/10)",0.970512,0.970512,0.000000
"KNN (k=3, CV 3-fold)",0.962372,0.962372,0.000000
"KNN (k=3, CV 5-fold)",0.963152,0.963152,0.000000
"KNN (k=3, CV 10-fold)",0.963672,0.963672,0.000000
"KNN (k=5, 80/20)",0.960988,0.960988,0.000000
"KNN (k=5, 90/10)",0.967910,0.967910,0.000000
"KNN (k=5, CV 3-fold)",0.960465,0.960465,0.000000
"KNN (k=5, CV 5-fold)",0.961417,0.961417,0.000000
"KNN (k=5, CV 10-fold)",0.961590,0.961590,0.000000
"KNN (k=10, 80/20)",0.957954,0.957954,0.000000
"KNN (k=10, 90/10)",0.965308,0.965308,0.000000
"KNN (k=10, CV 3-fold)",0.957777,0.957777,0.000000
"KNN (k=10, CV 5-fold)",0.958556,0.958556,0.000000
"KNN (k=10, CV 10-fold)",0.959250,0.959250,0.000000
